entry_id;calculation_id;name
17930;10027;UPb
21535;10029;NiS2
22340;10031;IrC2
31236;10032;ZrTe2
10428;10033;AlCrFe2
2487;10034;NaNO2
5308;10035;RbEuO2
5057;10036;PtO
30780;10037;NaVS2
12908;10039;LaI2
6868;10041;AgTe3
22256;10043;OsC
22259;10045;CrGaP2
3801;10047;AgAsSe2
18162;10048;ThTl3
17908;10051;PaRh3
5086;10052;UO3
19192;10053;HoGa3
17913;10054;PrPb3
19193;10055;TmGa3
18170;10057;TmTl3
22013;10058;CaGaSiH
4580;10059;SiC
17915;10060;Pt3Pb
18171;10061;UTl3
21502;10062;VRh
8426;10064;SbIr
18173;10066;YTl3
22016;10067;SrGaSiH
31333;10068;MgSe
25958;10069;LiAlAg2
17157;10070;ZnCu2Ni
10747;10071;Li2InAu
13826;10072;CrH
11006;10074;CaTl3
18703;10075;AlCuPt2
8116;10076;MnTe
29555;10077;CrIr3
7687;10078;LiGePd2
17437;10079;Ti3Hg
17954;10080;SnPd3
18722;10081;TiAl3
20917;10178;UBi
4155;10179;Y2C
5305;10180;RbLaO2
10185;10182;AgBr
10446;10183;DyAl3
30796;10185;NdNi
8152;10186;ZnSe
29006;10187;LiCd
17644;10188;MgPt3
17652;10189;SmMg3
5088;10190;CrCuO2
10471;10191;HfAl3
10728;10192;Li2GaAu
10461;10197;AlFe3
10462;10198;MnAlFe2
22266;10200;CrCdTe2
17912;10201;Pr3Pb
22014;10204;CaGaGeH
4837;10205;LiC
22015;10206;CaGaSnH
17917;10208;Pu3Pb
5608;10209;TiF3
22017;10210;SrGaSnH
20481;10212;CaO
20482;10213;CdO
17154;10215;Li2CuSn
17924;10217;SrPb3
31336;10218;LiGa
18693;10219;GdPd3
17158;10220;Cu3Pd
17926;10221;TbPb3
29803;10223;Cu3Sn
17672;10224;MnNi3
17928;10225;ThPb3
29804;10226;CuSn
17929;10228;TmPb3
24941;10229;Na3Hg
17931;10230;UPb3
5878;10231;CrB
14613;10232;Sr
10466;10234;TiAlFe2
21493;10235;ZnCdS2
12278;10236;NaTaN2
6134;10237;FeAgO2
18189;10240;VZn3
30065;10241;ErTl3
10494;10242;LuAl3
17934;10243;YPb3
11008;10246;CaZn
17681;10248;MnPt3
17937;10249;YbPb3
30581;10250;NaInS2
17682;10251;Mn3Pt
7936;10252;ScSi
17171;10253;Ti3Cu
17190;10254;ErPb3
30346;10255;ScGa3
17704;10256;MnZn3
17450;10257;ZrHg3
16167;10258;BC2N
17452;10259;MgCdAg2
17965;10260;TbPd3
6431;10261;Li3N
13892;10269;ZnI2
3294;10270;CuO
30573;10271;LiIn2Ru
18714;10274;AlPt3
18716;10275;ScAl3
10463;10312;AlFe2Mo
31062;10313;TiSe
17151;10315;MnInCu2
31335;10316;MnFe2Si
22302;10317;B2AsP
17455;10320;HoIn3
22327;10321;MgO
17749;10354;NbSnRh
10474;10355;HfAlPd2
10989;10356;Ca3Hg
18175;10357;YbTl3
13815;10358;Ni3Sb
29575;10360;CrPt3
17206;10361;DySn3
17988;10362;YbPd3
5370;10401;FeCuS2
5403;10406;AgI
17981;10408;TmPd3
21315;10409;Al3V
22270;10412;SrCdO2
21511;10415;PdN
17945;10416;ScPd3
17179;10417;DyGa3
21813;10420;Li2ZnGe
10537;10421;NpAl3
10473;10447;HfAlNi2
17405;10449;Li3Hg
13818;10451;TiNi2Sb
17947;10452;SmPd3
17972;10453;TiPd3
9510;10454;CrSe
