nr;professorType;researchInterest;headOf
1;fullProfessor;collectives ;
2;associateProfessor;haets renouncer unventilated ;
3;assistantProfessor;taskmasters scowed starched ;
11;fullProfessor;educts exordiums ;
12;associateProfessor;atomism ruminations ;
13;assistantProfessor;behooving puttered ;
21;fullProfessor;trolleying misplace revictual ;
22;associateProfessor;mf veluring ;
23;assistantProfessor;incarcerations ;
31;fullProfessor;rhetorically echolocation cutlers ;
32;associateProfessor;obscenity oared ;
33;assistantProfessor;undistributed dawns ;
41;fullProfessor;arabizing specks ;
42;associateProfessor;toeshoes spilling ;
43;assistantProfessor;decoding plaguers ;
51;fullProfessor;corsages firebrick ;
52;associateProfessor;uncelebrated keynoted ;
53;assistantProfessor;unenthusiastic tetragon ;
61;fullProfessor;swob printers bambino ;
62;associateProfessor;baboo ;
63;assistantProfessor;kapoks ;
71;fullProfessor;fortuned lambs chauvinist ;0
72;associateProfessor;rotisserie submersibles ;
73;assistantProfessor;bummers exemplified booed ;
81;fullProfessor;dressiest trumpeter ;
82;associateProfessor;sorceress ;
83;assistantProfessor;vicuna ;
91;fullProfessor;vendees bewig beleaguered ;
92;associateProfessor;fretsaws convoluted correlatives ;
93;assistantProfessor;woollen subsurface highbrow ;
102;associateProfessor;coveter ;
112;associateProfessor;innuendoes aptest ;
122;associateProfessor;southwesters ;
132;associateProfessor;groats beguines ;
1001;fullProfessor;loftiness moires resounding ;
1002;associateProfessor;virologists ;
1003;assistantProfessor;undistinguishable skippers ;
1011;fullProfessor;cognize lecturer designers ;
1012;associateProfessor;disarraying ;
1013;assistantProfessor;achenial ;
1021;fullProfessor;transgressions whammed ;
1022;associateProfessor;ideo ;
1023;assistantProfessor;hovering ;
1031;fullProfessor;tubers inclines broths ;
1032;associateProfessor;duellers ;
1033;assistantProfessor;encamped escalates galactoscope ;
1041;fullProfessor;resorting ;1
1042;associateProfessor;sics ;
1043;assistantProfessor;rainout ;
1051;fullProfessor;tinniest helots rioting ;
1052;associateProfessor;slushiness ;
1053;assistantProfessor;grouchiness ;
1061;fullProfessor;unapt conically ;
1062;associateProfessor;acceptances conformably fusspots ;
1063;assistantProfessor;strangler wretchedly grafts ;
1071;fullProfessor;overprint ;
1072;associateProfessor;stargazers ;
1073;assistantProfessor;clientless reannex ;
1081;fullProfessor;wanness jongleur sporting ;
1082;associateProfessor;slyness pies ;
1091;fullProfessor;cinques printer huntresses ;
1092;associateProfessor;dispatch coaled nabobery ;
2001;fullProfessor;forearm ;
2002;associateProfessor;sower heightening beths ;
2003;assistantProfessor;unattempted ;
2011;fullProfessor;backlashes unfathomed ;
2012;associateProfessor;rebills reflexologies richening ;
2013;assistantProfessor;underemployment bequests ;
2021;fullProfessor;advantaged ;
2022;associateProfessor;reunify accepters ;
2023;assistantProfessor;jins mizzen ;
2031;fullProfessor;craniofacial imprinted croquettes ;
2032;associateProfessor;innervates brickiest ;
2033;assistantProfessor;fathoms ;
2041;fullProfessor;platinums ;2
2042;associateProfessor;overed dotingly ;
2043;assistantProfessor;outstretch ;
2051;fullProfessor;autosuggestions ;
2052;associateProfessor;sweatiest recitatives knockwurst ;
2053;assistantProfessor;appanages crowder ;
2061;fullProfessor;whishes ;
2062;associateProfessor;vulgarizer ;
2063;assistantProfessor;deposits scarred obtuser ;
2072;associateProfessor;superseder ;
2073;assistantProfessor;catcher interrupter ;
2082;associateProfessor;flameouts pastoralist ;
2092;associateProfessor;tunelessly ;
2102;associateProfessor;joins ;
2112;associateProfessor;rawest unattractive gaol ;
3001;fullProfessor;blunter ;
3002;associateProfessor;dingbats eyewitnesses pulverization ;
3003;assistantProfessor;demonstrational clinchers wrigglers ;
3011;fullProfessor;arointed ;
3012;associateProfessor;delegant ;
3013;assistantProfessor;peyote omittance ;
3021;fullProfessor;pronghorn ascertains ;
3022;associateProfessor;wankel ;
3023;assistantProfessor;breakables snobbishly interferometry ;
3031;fullProfessor;weariful disrupts ;
3032;associateProfessor;slanged reportage ;
3033;assistantProfessor;preschoolers raisings millennial ;
3041;fullProfessor;disesteem glassed angolan ;3
3042;associateProfessor;jib ;
3043;assistantProfessor;soldered ;
3051;fullProfessor;reaffirming spinnery resown ;
3052;associateProfessor;salmonellas ;
3053;assistantProfessor;ahchoo automatization ;
3061;fullProfessor;unconventional inkless hermitage ;
3062;associateProfessor;bowdlerizing ;
3063;assistantProfessor;riveting nonracial ;
3071;fullProfessor;vexatiousness ;
3072;associateProfessor;restrictionist megabucks abbotships ;
3073;assistantProfessor;places ;
3081;fullProfessor;passkeys intertwined sirs ;
3082;associateProfessor;untractable completing piezometric ;
3083;assistantProfessor;octanes miggs argyll ;
3092;associateProfessor;razzed endowers ;
3093;assistantProfessor;staffed sendable ;
3102;associateProfessor;arsonist corer ;
3112;associateProfessor;reinscribes compositors imploration ;
4001;fullProfessor;aquarists keypunching gleanings ;
4002;associateProfessor;thrashes harmonizer cushy ;
4003;assistantProfessor;underlayer ;
4011;fullProfessor;usurped diversities ;
4012;associateProfessor;unobscured postboys paynims ;
4013;assistantProfessor;pastorate succinctness ;
4021;fullProfessor;scratching governmental ;
4022;associateProfessor;stridden ;
4023;assistantProfessor;rehammered ;
4031;fullProfessor;snowcapped vegetative ;4
4032;associateProfessor;undershot wagerers ;
4033;assistantProfessor;sappiest mexicans metricates ;
4041;fullProfessor;beelike squaws cellaret ;
4042;associateProfessor;leaseholders gnus seriousness ;
4043;assistantProfessor;notebooks lunes batholithic ;
4051;fullProfessor;gunsmiths ;
4052;associateProfessor;kaliphs ;
4053;assistantProfessor;continuable rehears ;
4061;fullProfessor;inquiring shellacker lexicographical ;
4062;associateProfessor;trimming overexpand ;
4063;assistantProfessor;sharkskin curls loafed ;
4072;associateProfessor;incidently ;
4073;assistantProfessor;spiffier ;
4082;associateProfessor;greenly quisling ;
4083;assistantProfessor;unliveable provender turning ;
4092;associateProfessor;frilliness lignified feminizing ;
4093;assistantProfessor;fallers ;
5001;fullProfessor;prickliest turbofans starlit ;
5002;associateProfessor;announcing tragically hiking ;
5003;assistantProfessor;hexagrams restyles ;
5011;fullProfessor;ammos sandwiches ;
5012;associateProfessor;pluckily slighter ;
5013;assistantProfessor;demographies ;
5021;fullProfessor;mammie ;
5022;associateProfessor;sitters woesome basifier ;
5023;assistantProfessor;roundly aptitudes evolvements ;
5031;fullProfessor;checkbooks ;
5032;associateProfessor;stemmed charbroil cheerfulness ;
5033;assistantProfessor;temporality preascertain tautogs ;
5041;fullProfessor;peritonitic ;5
5042;associateProfessor;irons jerker inoffensiveness ;
5043;assistantProfessor;amounted ;
5051;fullProfessor;hierarchies daydreamed manubriums ;
5052;associateProfessor;unarm ;
